# Data measured on an Dell workstation (Ubuntu 20.04, Xeon 4210@2.20Ghz, 16Go DDR4@1600MT/s)
tokio release;smol release;tokio debug,smol debug;
5794;742;14489;7723;
2309;517;17250;1339;
2295;516;16641;1379;
2381;521;17646;1390;
2293;516;17268;1389;
2297;516;17730;1385;
2384;518;17504;1392;
2296;520;17708;1390;
2400;514;17439;1388;
2302;520;17755;1396;
2300;515;17083;1385;
2393;520;17581;1395;
2349;517;17010;1392;
2303;514;17688;1388;
2420;487;16981;1115;
2299;520;17444;1359;
2435;515;17019;1384;
2304;519;17701;1380;
2296;515;17044;1377;
2386;520;17750;1387;
2299;520;17123;1396;
2306;515;17739;1385;
2396;521;16986;1393;
2304;521;17618;1395;
2313;519;17040;1378;
2325;519;17747;1394;
2357;517;17049;1390;
2316;519;17529;1394;
2299;519;16853;1396;
2296;518;17468;1394;
2317;516;17038;1153;
2300;520;17793;1387;
2320;516;16938;1386;
2299;521;17782;1394;
2299;519;17113;1394;
2321;521;17751;1389;
2298;520;17043;1386;
2299;518;17741;1392;
2315;520;17105;1392;
2405;520;17770;1390;
5498;519;17086;1392;
2299;520;17679;1398;
2303;519;17103;1385;
1281;521;6635;13741;
2320;520;17261;1396;
2298;508;17664;1325;
2303;520;17334;1385;
2294;521;17745;1392;
2315;518;17340;1390;
2301;521;17752;1392;
3215;518;17254;1390;
2440;520;17693;1393;
2290;521;17342;1392;
2303;519;17695;1392;
2431;521;17198;1395;
2431;521;17574;1394;
2440;518;17335;1393;
2329;520;17570;1391;
2306;518;17140;1393;
2427;513;17568;1394;
2301;519;17391;1396;
2310;513;17665;1181;
2556;520;16666;1394;
2299;520;17637;1396;
2453;517;17298;1393;
2309;521;17689;1398;
2309;519;17402;1394;
2410;519;17658;1393;
2309;521;17406;1395;
2472;518;17693;1395;
2404;519;17253;1392;
2314;520;17609;1395;
2384;519;17312;1395;
2299;521;17556;1397;
2409;511;17407;1390;
2326;520;17651;1397;
2309;513;17355;1328;
2310;518;17692;1393;
2319;520;17304;1393;
